"query","search interest","increase percent"
"workout at home",100,"-8%"
"home workout equipment",80,"70%"
"home workout without equipment",62,"250%"
"best home workout",40,"-20%"
"gym workout",34,"3%"
"gym home workout",34,"3%"
"home gym",34,"3%"
"home gym workout",34,"4%"
"chest home workout",21,"-10%"
"chest workout",21,"-10%"
"home chest workout",20,"-10%"
"chest workout home",20,"-10%"
"exercise",19,"-20%"
"home workout exercise",19,"-20%"
"body workout at home",17,"-3%"
"home workout exercises",16,"40%"
"home workout app",15,"-20%"
"home workout plan",14,"-20%"
"back home workout",13,"-20%"
"home back workout",13,"-20%"
"chest workout at home",12,"-20%"
"full body home workout",12,"-20%"
"workout equipment at home",12,"-20%"
"dumbbell",11,"-20%"
"dumbbell home workout",11,"-20%"
"home dumbbell workout",11,"-20%"
"home workout for men",11,"-2%"
"abs home workout",10,"-30%"
"abs workout",10,"-40%"
"home workout with dumbbells",10,"-9%"
"home workout no equipment",10,"-20%"
"home workout for women",9,"-20%"
"full body workout at home",8,"2%"
"leg workout",8,"-10%"
"leg home workout",8,"-10%"
"easy workout at home",8,"200%"
"back workout at home",8,"-20%"
"shoulder workout",8,"-10%"
"home leg workout",7,"-20%"
"pre workout",7,"-30%"
"biceps workout",7,"-20%"
"abs workout at home",7,"-30%"
"shoulder home workout",7,"-30%"
"shoulder workout home",7,"-20%"
"home workout set",7,"-30%"
"home workout routine",7,"-10%"
"best home workout app",6,"-20%"
"home workout machine",6,"-30%"
"gym equipment",6,"20%"
"home workout for chest",6,"-10%"
